rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,general_style,substyle
204,Double Dry Hopped All Citra Everything,Other Half Brewing Company,IPA - New England,8.5,612,4.5,IPA,New England
205,Hold On To Sunshine,Tree House Brewing Company,Stout - Sweet / Milk,7.6,604,4.5,Stout,Sweet / Milk
206,Thicket,Side Project Brewing,Wild Ale,6.0,302,4.51,Wild Ale,
207,Bomb!,Prairie Artisan Ales,Stout - American Imperial,13.0,6597,4.49,Stout,American Imperial
208,Barrel-Aged Silhouette,Lift Bridge Brewery,Stout - Russian Imperial,11.0,548,4.5,Stout,Russian Imperial
209,Consecration,Russian River Brewing Company,Wild Ale,10.0,5592,4.49,Wild Ale,
210,Foggy Window,Monkish Brewing Co.,IPA - New England,8.1,283,4.51,IPA,New England
211,Permanent Funeral,3 Floyds Brewing Co.,IPA - Imperial,10.5,3184,4.49,IPA,Imperial
212,Everett,Hill Farmstead Brewery,Porter - American,7.5,2848,4.49,Porter,American
213,Leche Borracho,Bottle Logic Brewing,Stout - American Imperial,11.0,468,4.5,Stout,American Imperial
214,Mocha Wednesday,The Bruery,Stout - American Imperial,19.9,1491,4.49,Stout,American Imperial
215,Affogato,Trillium Brewing Company,Stout - American Imperial,13.3,424,4.5,Stout,American Imperial
216,No Rules,Perrin Brewing Co.,Porter - Imperial,15.0,1404,4.49,Porter,Imperial
217,Space Trace,Bottle Logic Brewing,Stout - American Imperial,11.1,401,4.5,Stout,American Imperial
218,Insert Hip Hop Reference There,Trillium Brewing Company,IPA - New England,10.0,130,4.53,IPA,New England
219,Peche Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,8.0,226,4.51,Farmhouse Ale,Saison
220,Citraquench'l,Heist Brewery,IPA - New England,7.1,358,4.5,IPA,New England
221,Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Stout - Russian Imperial,10.5,877,4.49,Stout,Russian Imperial
222,Yellow Bus,The Lost Abbey,Wild Ale,7.0,105,4.54,Wild Ale,
223,Aurelian Lure,Jester King Brewery,Wild Ale,5.4,773,4.49,Wild Ale,
224,Starry Noche,WeldWerks Brewing Co.,Stout - American Imperial,15.6,86,4.55,Stout,American Imperial
225,Bad Boy,Alpine Beer Company,IPA - Imperial,9.0,625,4.49,IPA,Imperial
226,Cellarman Barrel Aged Saison,Sante Adairius Rustic Ales,Farmhouse Ale - Saison,6.5,574,4.49,Farmhouse Ale,Saison
227,Darkness,Surly Brewing Company,Stout - Russian Imperial,12.0,4215,4.48,Stout,Russian Imperial
228,PNC Imperial Buckwheat Stout,Firestone Walker Brewing Co.,Stout - American Imperial,13.7,520,4.49,Stout,American Imperial
229,Jammy,Side Project Brewing,Farmhouse Ale - Saison,8.0,185,4.51,Farmhouse Ale,Saison
230,Crusher,The Alchemist,IPA - New England,8.0,2323,4.48,IPA,New England
231,All That Is And All That Ever Will Be,Tree House Brewing Company,Stout - Sweet / Milk,6.5,472,4.49,Stout,Sweet / Milk
232,Sosus,Toppling Goliath Brewing Company,IPA - Imperial,7.8,1991,4.48,IPA,Imperial
233,Apple Brandy Barrel Noir,Prairie Artisan Ales,Stout - American Imperial,12.0,1702,4.48,Stout,American Imperial
234,Barrel Aged Bomb!,Prairie Artisan Ales,Stout - American Imperial,14.7,1245,4.48,Stout,American Imperial
235,Double Dry Hopped Double Citra Daydream,Other Half Brewing Company,IPA - New England,8.5,354,4.49,IPA,New England
236,Mexican Siberius Maximus,The Wrecking Bar Brewpub,Stout - Russian Imperial,11.0,77,4.55,Stout,Russian Imperial
237,Black Tuesday - Rum Barrel-Aged,The Bruery,Stout - American Imperial,18.9,349,4.49,Stout,American Imperial
238,I Will Not Be Afraid,Tree House Brewing Company,Stout - Sweet / Milk,9.3,219,4.5,Stout,Sweet / Milk
239,Blanc De Blancs,Side Project Brewing,Bière de Champagne / Bière Brut,10.0,348,4.49,Bière de Champagne / Bière Brut,
240,Red Eye November,Bottle Logic Brewing,Stout - Russian Imperial,13.2,341,4.49,Stout,Russian Imperial
241,Kentuckley,Transient Artisan Ales,Stout - American Imperial,14.5,216,4.5,Stout,American Imperial
242,Barrel Aged Christmas Bomb!,Prairie Artisan Ales,Stout - American Imperial,13.0,215,4.5,Stout,American Imperial
243,Triple Citra Daydream,Other Half Brewing Company,IPA - New England,10.5,214,4.5,IPA,New England
244,Juicy,Hill Farmstead Brewery,Farmhouse Ale - Saison,7.4,770,4.48,Farmhouse Ale,Saison
245,Darkstar November,Bottle Logic Brewing,Stout - Russian Imperial,14.76,739,4.48,Stout,Russian Imperial
246,Bourbon Barrel Oro Negro,Jackie O's Pub & Brewery,Stout - American Imperial,12.1,611,4.48,Stout,American Imperial
247,The Abyss,Deschutes Brewery,Stout - American Imperial,11.4,7552,4.47,Stout,American Imperial
248,Abraxas,Perennial Artisan Ales,Stout - American Imperial,11.5,3078,4.47,Stout,American Imperial
249,Stickee Monkee,Firestone Walker Brewing Co.,Quadrupel (Quad),12.3,2981,4.47,Quadrupel (Quad),
250,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),Strong Ale - American,28.0,2797,4.47,Strong Ale,American
